model,hr@1,hr@3,hr@5,hr@10,hr@20,hr@50,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,ndcg@50,note
sft_mean_ddp_828,0.040463,0.046588,0.052032,0.060447,0.073068,0.097197,0.040463,0.043963,0.046158,0.048873,0.052073,0.056862,SFT 三任务 mean 变体（RL 初始化，DDP，best=828 步）
sft_zero2_828,0.041205,0.047207,0.051723,0.061065,0.074120,0.096579,0.041205,0.044684,0.046540,0.049544,0.052811,0.057291,SFT 三任务（ZeRO-2 复跑，best=828 步）
sft_ntp_only_zero2_1216,0.000928,0.003960,0.007301,0.010580,0.015406,0.035637,0.000928,0.002630,0.003977,0.005005,0.006190,0.010199,SFT NTP-only 消融（ZeRO-2，best=1216 步）
rl_bsl_750,0.042071,0.049434,0.055002,0.063664,0.075852,0.100600,0.042071,0.046320,0.048593,0.051406,0.054450,0.059327,RL zero2 段（batch16×gas2，1 epoch=3750 步）
rl_fd_750,0.043061,0.050548,0.056301,0.064344,0.077275,0.105364,0.043061,0.047331,0.049684,0.052275,0.055526,0.061055,RL zero2 段（batch16×gas2，1 epoch=3750 步）
rl_bsl_2250,0.041824,0.049310,0.055188,0.064344,0.077090,0.102642,0.041824,0.046150,0.048576,0.051567,0.054768,0.059792,RL zero2 段（batch16×gas2，1 epoch=3750 步）
rl_fd_2250,0.043866,0.051599,0.057848,0.066324,0.079441,0.108334,0.043866,0.048267,0.050823,0.053529,0.056841,0.062536,RL zero2 段（batch16×gas2，1 epoch=3750 步）
rl_bsl_3000,0.042876,0.050609,0.056301,0.066262,0.079193,0.105302,0.042876,0.047277,0.049607,0.052797,0.056054,0.061213,RL zero2 段（batch16×gas2，1 epoch=3750 步）
rl_fd_3000,0.044237,0.051352,0.057972,0.066757,0.081544,0.109819,0.044237,0.048256,0.050955,0.053759,0.057467,0.063033,RL zero2 段（batch16×gas2，1 epoch=3750 步）
rl_bsl_3750,0.043247,0.050609,0.056487,0.066262,0.079131,0.104684,0.043247,0.047439,0.049837,0.052984,0.056228,0.061285,RL zero2 段（batch16×gas2，1 epoch=3750 步）
rl_fd_3750,0.044237,0.051166,0.057291,0.066696,0.081173,0.109138,0.044237,0.048147,0.050652,0.053675,0.057306,0.062828,RL zero2 段（batch16×gas2，1 epoch=3750 步）
sft_full_codebook_828,0.040958,0.046774,0.050486,0.059952,0.072883,0.094846,0.040958,,,,,0.056461,全参 SFT+码本初始化（单卡消融；中间 NDCG 档未归档）
sft_lora_resize_2760,0.015406,0.026047,0.031244,0.041824,0.057044,0.083153,0.015406,,,,,0.036109,默认 resize 初始化 LoRA（E1；单卡；中间 NDCG 档未归档）
sft_lora_codebook_1932,0.037617,0.046279,0.051352,0.059952,0.073130,0.095774,0.037617,,,,,0.055299,正确码本初始化 LoRA（E2；best=1932；中间 NDCG 档未归档）
sft_lora_codebook_shuffled_2208,0.036503,0.044670,0.049929,0.058900,0.070470,0.093609,0.036503,,,,,0.053856,同层打乱码本 LoRA（E5；best=2208；中间 NDCG 档未归档）
